Rhipsalis_clavata;Lepismium_cruciforme;Anthurium_urvileanum;Monstera_adansonii;Philodendron_hastatum;Aechmea_nudicualis;Canistropsis_microps;Billbergia_pyramidalis;Tiilandsia_stricta;Tillandsia_geminiflora;Vriesea_vagans;Peperomia_urocarpa;Campyloneuron_nitidum;Microgramma_crispata;Microgramma_vacciniifolia;Miconia_prasina;Pecluma_sicca;Pleopeltis_hirsutissima;Neoblechnum_brasiliense;Adiantum_latifolium;Adiantopsis_radiata;Masdevallia_cf_infracta;Serpocaulon_menisciifolium;Pleopeltis_pleopeltifolia
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;11;2;0;0;0;0;0;10
0;0;0;0;0;0;0;0;3;0;1;7;0;0;0;0;1;2;0;0;0;0;0;45
0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;10
1;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;1;0;0;0;0;0;0;28
0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;9
0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3
0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;5
0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
0;4;2;0;0;0;9;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;1
0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
